model,nct_id,term,estimate,std.error,statistic,p.value
asc_int,NCT01769378,(Intercept),1.25E-01,1.07E-01,1.166648262,0.244278989
asc_int,NCT01769378,age10,-1.74E-02,1.90E-02,-0.918260788,0.359220014
asc_int,NCT01769378,male,-1.06E-01,1.52E-01,-0.699419296,0.484831965
asc_int,NCT01769378,como_ct,-3.03E-02,7.13E-02,-0.425185786,0.671006063
asc_int,NCT01769378,age10:male,2.48E-02,2.73E-02,0.910124415,0.363487545
asc_int,NCT01769378,age10:como_ct,4.12E-03,1.18E-02,0.350293661,0.726364139
asc_int,NCT01769378,male:como_ct,-4.76E-03,1.07E-01,-0.044415467,0.964602781
asc_int,NCT01769378,age10:male:como_ct,-2.57E-03,1.75E-02,-0.146579749,0.883562189
asce_int,NCT01164501,(Intercept),1.14E+00,9.24E-02,12.33901158,3.63E-33
asce_int,NCT01164501,age10,-1.13E-01,1.40E-02,-8.028098045,2.19E-15
asce_int,NCT01164501,como_ct,1.72E-01,1.30E-02,13.19293724,2.12E-37
asce_int,NCT01164501,male,-2.83E-02,3.06E-02,-0.923356659,0.355991927
asce_int,NCT01164501,asian,-2.04E-01,4.17E-02,-4.901460735,1.07E-06
asce_int,NCT01164501,black,-1.84E-01,8.87E-02,-2.073020094,0.038366138
asce_int,NCT01164501,nativ,1.20E-01,3.19E-01,0.37568531,0.70721187
asce_int,NCT01164501,other,-8.31E-01,3.20E-01,-2.598940145,0.009456545
asce_int,NCT01164501,male:asian,-7.12E-02,5.56E-02,-1.280564922,0.200573902
asce_int,NCT01164501,male:black,1.81E-01,1.42E-01,1.27367535,0.203005124
asce_int,NCT01164501,male:nativ,  NA,  NA,NA,NA
asce_int,NCT01164501,male:other,5.86E-01,4.12E-01,1.421495647,0.155411459
asce_int,NCT01370005,(Intercept),3.06E-01,8.10E-02,3.775739784,1.65E-04
asce_int,NCT01370005,age10,3.76E-02,1.29E-02,2.923403846,0.003505037
asce_int,NCT01370005,como_ct,  NA,  NA,NA,NA
asce_int,NCT01370005,male,2.89E-02,2.46E-02,1.171820645,0.241422447
asce_int,NCT01370005,asian,-1.32E-01,2.23E-01,-0.592713673,0.553446424
asce_int,NCT01370005,black,-7.19E-02,8.19E-02,-0.877850651,0.380140641
asce_int,NCT01370005,nativ,-5.23E-01,3.52E-01,-1.486051525,0.137438689
asce_int,NCT01370005,other,-5.13E-01,4.97E-01,-1.031543435,0.302423107
asce_int,NCT01370005,male:asian,1.80E-02,2.78E-01,0.064783523,0.948353475
asce_int,NCT01370005,male:black,2.79E-02,1.17E-01,0.239032751,0.8111071
asce_int,NCT01370005,male:nativ,  NA,  NA,NA,NA
